antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Queen of Shadows,Throne of Glass",Heir of Fire,0.029245283018867925,0.07401372212692968,0.021269296740994856,0.7272727272727273,9.826187717265354,1.0,0.01910474449011295,3.3952830188679246,0.9252915451895044,0.2594142259414226,0.7054737427063074,0.5073211840303382
Gemina,Illuminae,0.040566037735849055,0.0797598627787307,0.029416809605488852,0.7251585623678648,9.09177294323581,1.0,0.02618126800220072,3.348258345428158,0.9276411786796472,0.3235849056603774,0.7013372634864216,0.54698788333447
"A Court of Thorns and Roses,Heir of Fire",Crown of Midnight,0.03379073756432247,0.09082332761578045,0.02444253859348199,0.7233502538071065,7.964366345033864,1.0,0.02137355136529867,3.2863817332053427,0.9050220972278024,0.24400684931506844,0.6957139854156081,0.49623603341913397
Stars Above,Winter,0.018929940958061962,0.06135492117596932,0.013634426927993182,0.7202572347266881,11.739192568774563,1.0,0.012472981892645537,3.355386431198547,0.9324668072961906,0.2045662100456621,0.7019717339553051,0.47123972847445517
A Gathering of Shadows,A Darker Shade of Magic,0.0445220056184557,0.0755937686217757,0.0315825317102238,0.7093690248565965,9.383961638502749,1.0,0.0282169455189249,3.1806872303342835,0.9350662231298738,0.3567307692307692,0.685602535683805,0.5635809088246946
A Court of Wings and Ruin,A Court of Mist and Fury,0.0500553332765812,0.0938963139524985,0.035413297012003,0.7074829931972789,7.534725948402934,1.0,0.0307132857236682,3.097610275557737,0.9129807261472286,0.3262745098039215,0.6771704923983873,0.5423181058461463
"The Raven King,Blue Lily, Lily Blue",The Raven Boys,0.03156089193825043,0.09348198970840481,0.022298456260720412,0.7065217391304348,7.557838053450339,1.0,0.019348081285360808,3.088876183215806,0.8959644676966674,0.21702838063439067,0.6762576611410472,0.47252692461108897
"Mockingjay,Catching Fire",The Hunger Games,0.034648370497427104,0.08919382504288165,0.02444253859348199,0.7054455445544554,7.909129855293221,1.0,0.021352117897313533,3.0921486948124013,0.9049177670544519,0.24590163934426226,0.6766002871473588,0.48974200304645843
"Cress, Winter",Scarlet,0.0469907210351579,0.100536307142249,0.0330297097131182,0.7028985507246377,6.99148964890967,1.0,0.0283054361502918,3.027463161326089,0.8992241565868415,0.2884758364312268,0.6696904481698202,0.515716845218373
"Winter,Cress",Scarlet,0.048027444253859346,0.10334476843910806,0.03361921097770154,0.7,6.7734439834024895,1.0,0.028655825872564277,2.9888507718696395,0.8953667953667953,0.28550619082301526,0.6654232424677188,0.512655601659751
Crooked Kingdom,Six of Crows,0.0723589001447178,0.1055588660934706,0.0503958457478505,0.6964705882352941,6.597935483870967,1.0,0.0427577222968034,2.9468021853509683,0.9146182063498756,0.3951935914552737,0.6606490910821357,0.5869449715370019
Morning Star,Golden Son,0.01783431736563394,0.02513847464848743,0.012356199403493822,0.6928327645051195,27.560652513449416,1.0,0.011907871868524754,3.1737158547554807,0.9812157010240541,0.4035785288270378,0.6849119310723407,0.5921790941169666
Golden Son,Red Rising,0.03507718696397941,0.050171526586620926,0.024099485420240138,0.6870415647921762,13.693854094832092,1.0,0.022339609401892974,3.034998793953689,0.9606722186181316,0.394109396914446,0.6705105774696861,0.5836917225670283
The Dream Thieves,The Raven Boys,0.0655486507193326,0.0927896484208734,0.0450327743253596,0.6870129870129871,7.403983081139046,1.0,0.0389505380706501,2.8985558950868366,0.9256100528463622,0.3974455296769347,0.6550006154116129,0.5861670439652091
"Blue Lily, Lily Blue",The Dream Thieves,0.05849056603773585,0.06638078902229845,0.04013722126929674,0.6862170087976539,10.337584396099025,1.0,0.03625457134535098,2.975365896667254,0.9593802990596579,0.47368421052631576,0.663906882471123,0.6454340857941758
"Heir of Fire,Queen of Shadows",Crown of Midnight,0.03765008576329331,0.09082332761578045,0.025643224699828472,0.6810933940774487,7.499101959341881,1.0,0.02222371862578665,2.850918279833374,0.9005567380082555,0.24937447873227686,0.6492358244451516,0.48171761299717575
"A Court of Thorns and Roses,Crown of Midnight",Heir of Fire,0.036020583190394515,0.07401372212692968,0.02444253859348199,0.6785714285714285,9.16818407548419,1.0,0.021776521158378175,2.880846197827329,0.9242180183554973,0.2855711422845691,0.6528797681895764,0.5044073828836285
The Ask and the Answer,The Knife of Never Letting Go,0.01637348590906324,0.02611236228620123,0.011077971878994461,0.6765799256505577,25.9103300664639,1.0,0.010650421483048992,3.011215799367953,0.9774089462517681,0.35271317829457366,0.6679082249070631,0.5504111749464909
"A Court of Thorns and Roses,Throne of Glass",Crown of Midnight,0.033276157804459694,0.09082332761578045,0.022384219554030874,0.672680412371134,7.406471773604742,1.0,0.01936196817196202,2.7776421172053314,0.8947570217730026,0.22006745362563235,0.6399824175311217,0.4595696679419409
"Queen of Shadows,A Court of Mist and Fury",Heir of Fire,0.03267581475128645,0.07401372212692968,0.021955403087478557,0.6719160104986877,9.078262667919695,1.0,0.019536944414205813,2.822406174957118,0.919905424350563,0.25910931174089064,0.6456923851453827,0.4842778198495755
"Heir of Fire,A Court of Mist and Fury",Crown of Midnight,0.03293310463121784,0.09082332761578045,0.022126929674099485,0.671875,7.397603871576959,1.0,0.01913583552277361,2.77082414440905,0.8942722555417144,0.21772151898734177,0.6390965474955193,0.4577505311614731
"Heir of Fire,A Court of Mist and Fury",Queen of Shadows,0.03293310463121784,0.06183533447684391,0.021955403087478557,0.6666666666666666,10.781322237632917,1.0,0.019918973547246303,2.814493996569468,0.9381429584959204,0.3015312131919905,0.6446963464058262,0.5108645399907535
"A Court of Mist and Fury,Crown of Midnight",Heir of Fire,0.033276157804459694,0.07401372212692968,0.022126929674099485,0.6649484536082474,8.984123950257432,1.0,0.019664037376908344,2.763712890882702,0.9192827394215481,0.2598187311178248,0.6381679141495012,0.4819527899559197
The Rose & the Dagger,The Wrath & the Dawn,0.03267581475128645,0.05917667238421955,0.021526586620926245,0.6587926509186353,11.132641028567082,1.0,0.019592940636501917,2.7573360601662498,0.9409193618292148,0.30609756097560975,0.6373311130092331,0.5112803834303321
Onyx,Obsidian,0.035334476843910806,0.046569468267581474,0.023241852487135506,0.6577669902912622,14.124425611042573,1.0,0.021596344689001408,2.785910489884798,0.9632361046227815,0.3961988304093567,0.6410509226226605,0.5784230899890933
Never Fade,The Darkest Minds,0.01759084545620549,0.03110353642948445,0.011504047720494247,0.6539792387543252,21.025880456937003,1.0,0.01095691021802173,2.800110779718789,0.9694937812657762,0.3093289689034369,0.6428712723642925,0.5119211262264777
The Hero of Ages,Mistborn : The Final Empire,0.03370497427101201,0.05497427101200686,0.022041166380789023,0.653944020356234,11.895455970910591,1.0,0.02018825999076169,2.7308464080314794,0.9478826461630484,0.3307593307593307,0.6338131661088746,0.5274400288988659
Heir of Fire,Crown of Midnight,0.0725291563803524,0.0888737550012769,0.0474163616242444,0.653755868544601,7.356005927005199,1.0,0.0409704231496477,2.6314561380980077,0.931626765361872,0.4159820761762509,0.6199822655137277,0.5936403863795802
"The Raven Boys,The Dream Thieves","Blue Lily, Lily Blue",0.045368782161234994,0.05849056603773585,0.029502572898799314,0.6502835538752363,11.117751082383071,1.0,0.026848927149745946,2.6922080571137172,0.9533039928295792,0.39677047289504036,0.6285576824726958,0.5773411904273542
Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,0.0496296926874946,0.0815527368689878,0.0320933004171277,0.6466552315608919,7.9292891494215,1.0,0.0280458631484957,2.5992949242979613,0.919520826225258,0.3238831615120274,0.6152802859528962,0.5200917076384834
